Path: ../in/test_01.sim
 1 0.006 1.89451e+258
LAST 1 0.001 8.48798e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
 1 0.001 8.50502e-314
