Path: ../in/test_01.sim
 1 0.006 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
 1 0.001 0
